,timestamp,tweet,label,sentiment
0,2022-05-15 06:12:25+00:00,i-i haven t had the booster vaccine yet,0,Negative
1,2022-05-19 09:35:16+00:00,aa already has the booster vaccine you can t scan the barcode if you don t have an apk care for protection you can just download it and check the temperature of the bntr,0.4939,Positive
2,2022-05-19 10:00:50+00:00,amen allahumma amen for the prayers for the family honestly think about the condition of the family the booster vaccine my friend at work,0.7351,Positive
3,2022-03-03 06:31:44+00:00,amen tomorrow is a booster vaccine even though,0,Negative
4,2022-03-03 09:22:40+00:00,amen go home take a break immediately sis when the booster vaccine is weak go home take a break wake up thank god it s fresh again but again people s immunity is different,0.25,Positive
5,2022-03-03 04:01:59+00:00,abar vaccine booster dose present mnc care vaccination center free register record date thursday friday march wib goat land jl field football rt kebon jeruk west jakarta mnc studios url,0.7579,Positive
6,2021-11-21 17:04:59+00:00,abdull latif try to show scientific fact data is safe covid vaccine validity pcr test accurate results covid is dangerous from tb,-0.0516,Negative
7,2022-03-07 09:10:12+00:00,abias booster vaccine effect of sleepy fever,0,Negative
8,2022-05-21 13:17:47+00:00,after the booster the former injection hurts does the vaccine hurt,-0.7579,Negative
9,2022-03-09 14:13:24+00:00,after the vaccine booster just on the day of work at night feel the effect,0,Negative
10,2022-03-07 10:25:33+00:00,after the vaccine booster my lips are tingling with ants since the afternoon it s really weird,-0.2484,Negative
11,2021-11-24 12:56:09+00:00,after the az vaccine until now there have been no side effects and i think the big needle seems to be because it s really frustrating when it s punctured,-0.659,Negative
12,2021-11-25 06:33:12+00:00,finished the body vaccine on the left astagfirullah gel,0,Negative
13,2022-05-14 14:49:07+00:00,after the booster vaccine,0,Negative
14,2022-03-10 12:20:42+00:00,after the booster vaccine just salfok the biohazard safety box which automatically remembers the yellow safety box that provides clinics that don t use the end i don t choose to use environmentalist plastic jerry cans the url is different,0.6808,Positive
15,2022-05-14 14:44:24+00:00,after the booster vaccine thank god i didn t use the vaccine fever weakness in the morning i woke up because my body was shivering it was warm then i woke up at an hour the condition was really cool i went straight to the mall,0.7548,Positive
16,2022-03-03 12:44:06+00:00,after the booster vaccine thank god it s not like what people say,0.3591,Positive
17,2022-03-07 11:56:36+00:00,after the booster vaccine hope for the effect,0.4404,Positive
18,2022-03-07 16:18:20+00:00,after the booster vaccine i hope the maghrib effect will go away,0.4404,Positive
19,2022-05-21 15:14:59+00:00,after the booster vaccine the body is not hot,0,Negative
20,2022-03-03 05:04:48+00:00,after the booster vaccine my body aches my android is hit by the wind my bones hurt,-0.6597,Negative
21,2022-03-10 10:56:17+00:00,after the booster vaccine the body is totally meningo,0,Negative
22,2022-03-07 13:37:27+00:00,after the booster vaccine the body feels really hot,0,Negative
23,2022-05-15 09:40:56+00:00,after the innate booster vaccine i go to sleep,0,Negative
24,2022-05-20 03:18:14+00:00,after the booster vaccine tomorrow istora i hope you watch it or not,0.4404,Positive
25,2022-03-10 17:23:40+00:00,after the ci booster vaccine,0,Negative
26,2022-03-10 13:36:37+00:00,after the booster vaccine the fever just got chills but i used it to sleep on the auto clock btw the menfess was entrusted,0.296,Positive
27,2022-03-10 13:25:04+00:00,after the booster vaccine the drop is really bad,-0.7089,Negative
28,2022-05-14 04:16:08+00:00,after the booster vaccine i fainted at the health center,0,Negative
29,2022-03-10 21:33:24+00:00,after the booster vaccine it s easy to fall asleep,0.4404,Positive
30,2022-03-07 11:15:59+00:00,after the booster vaccine it really lasts doesn t it,0,Negative
31,2022-05-21 10:46:51+00:00,after the booster vaccine hibernation is really good,0.4927,Positive
32,2022-05-14 15:30:53+00:00,after the booster vaccine there are no side effects super happy,0.7506,Positive
33,2022-03-03 14:44:55+00:00,after the booster vaccine it doesn t hurt it s gel huhu,-0.5267,Negative
34,2022-03-07 11:49:44+00:00,after the booster vaccine guys it s slow it s up right away using spices some have been vaccinated with astra have a hungry fever,0,Negative
35,2022-05-19 07:49:29+00:00,after the booster vaccine i have a fever,0,Negative
36,2022-05-19 13:53:02+00:00,after the booster vaccine it s like being punched,0.3612,Positive
37,2022-03-07 13:48:31+00:00,after the booster vaccine you re going to take off your body,0,Negative
38,2022-05-16 01:18:04+00:00,after the booster vaccine why do you feel hungry so fast i just ate but i feel empty when my stomach becomes hungry and then,-0.296,Negative
39,2022-05-14 01:58:44+00:00,after the booster vaccine i immediately fell asleep dizzy the effect of gin i m the one who was sleepy earlier,-0.2263,Negative
40,2022-05-21 16:07:53+00:00,after the booster vaccine i feel dizzy and have a fever,-0.2263,Negative
41,2022-03-10 11:37:34+00:00,after the booster vaccine the arm w asa is like being hung by a tuyul it s so gelled that it can t be moved,0.3612,Positive
42,2022-03-10 13:33:53+00:00,after the booster vaccine melts the body gin,0,Negative
43,2022-05-19 02:12:38+00:00,after the booster vaccine,0,Negative
44,2022-01-09 12:38:20+00:00,after the booster vaccine the bomb can take a shower the employer url,0.6124,Positive
